hltm_topic_id,hltm_label,bertopic_id,bertopic_label,overlap_count,overlap_ids,matched_topic_size,overlap_ratio_over_hltm,overlap_ratio_over_bertopic
Z1156,Tagalog Education,1,Topic 1: Learning and Speaking Foreign Language,143,"['551', '664', '2021', '1154', '986', '426', '123', '1073', '956', '1044', '2588', '1603', '1704', '59', '1431', '476', '1118', '1189', '368', '2575', '2382', '274', '742', '297', '405', '1695', '293', '899', '1173', '1948', '500', '2315', '2363', '1011', '917', '40', '2522', '2585', '1502', '855', '1839', '358', '2653', '519', '2128', '428', '2408', '1462', '2147', '332', '1271', '201', '1473', '1365', '1821', '1594', '1847', '267', '2340', '1582', '2439', '2498', '1538', '2692', '1514', '2243', '1244', '2598', '1897', '1054', '1433', '36', '2381', '711', '1686', '578', '1228', '1486', '2285', '1287', '1246', '1366', '1081', '1428', '530', '1562', '1467', '1198', '1747', '1881', '1898', '2013', '514', '1762', '2355', '319', '116', '2446', '2190', '1541', '1378', '1628', '1934', '180', '2591', '1376', '392', '1633', '587', '215', '782', '2102', '520', '1443', '717', '1272', '749', '2597', '891', '678', '675', '1920', '1940', '845', '1330', '2428', '2386', '1387', '1533', '2657', '1355', '2553', '2592', '2586', '2543', '2335', '555', '2391', '2265', '1979', '1931', '401', '1658']",258,0.5276752767527675,0.5542635658914729
Z153,Ube Ice Cream,19,Topic 19: Philippine Halo-Halo Dessert,98,"['1349', '1739', '26', '2616', '1191', '142', '2682', '1504', '1704', '372', '990', '939', '323', '1392', '1532', '467', '917', '1498', '1009', '2312', '1625', '627', '1487', '2569', '294', '289', '1247', '1123', '1531', '359', '974', '615', '1065', '2613', '1231', '179', '1194', '2445', '1370', '441', '344', '946', '2248', '644', '190', '268', '1241', '875', '1586', '586', '2306', '726', '2487', '738', '438', '630', '2117', '931', '1420', '1702', '1201', '1997', '2633', '1849', '470', '2209', '1046', '155', '584', '707', '1097', '1818', '1551', '1694', '1435', '970', '744', '1062', '1506', '550', '1967', '1843', '1638', '909', '1190', '2419', '1529', '1846', '650', '152', '1787', '2316', '572', '1155', '1095', '620', '2364', '1175']",228,0.5384615384615384,0.4298245614035088
Z187,Christmas Season,2,Topic 2: Christmas Season & Celebration,82,"['529', '926', '2021', '1432', '2409', '1523', '2437', '1576', '2538', '847', '2228', '1403', '2548', '2390', '2249', '223', '1305', '129', '959', '1612', '2061', '973', '51', '1202', '357', '2551', '531', '774', '1276', '1584', '267', '1161', '258', '1793', '1559', '2703', '1054', '5', '1086', '270', '2560', '1268', '657', '1171', '61', '44', '1490', '1992', '35', '2213', '2530', '47', '777', '1087', '1817', '2359', '2084', '1117', '478', '694', '1037', '324', '557', '1099', '1272', '658', '873', '568', '2344', '879', '218', '1875', '1352', '850', '425', '149', '650', '646', '620', '2502', '23', '2215']",205,0.7663551401869159,0.4
