Video Id,Video Title,Doc Name
0yqdgfLWhpM,FOREIGNER TOLD BY LOCAL PHILIPPINES AUTHORITIES THEY WOULD ARREST HIM : ANGELES CITY PHILIPPINES,82
0z_UIEHwskI,"SINULOG 2019 Philippines, Foreigners First Time!",83
0zyiBgLpoeE,"Japanese React to ""What It's Like To Have a FILIPINA Grandma | Markian""",84
1-b2aT0of_Y,METALHEADS REACTION TO - PINOY RAP - 187 MOBSTAZ - WE DON’T DIE WE MULTIPLY,85
1-m9KLTaeaI,Visiting a $1 Zoo in The Philippines | Albay Park & Wildlife and Ligñon Hill 🇵🇭,86
12cGM8Quszs,SO INSPIRATIONAL! FILIPINOS who made PINOYS PROUD #2 | HONEST REACTION,87
13VgNwbbOcw,FILIPINA SPEAKS WHY CHOOSE FOREIGNER THAN FILIPINO ?? EXPAT LIVING IN PHILIPPINES,88
13wZEXCrprY,Foreigner Trying Filipino Wishing Candles in Manila 🇵🇭 #philippines #manila #travelphilippines,89
160z2kH-pfQ,The Philippines Arrived at AGT! Waleska & Efra react to Roland Abante America's Got Talent Audition,90
16GQKjDDrXM,7 BEAUTIFUL FILIPINAS LOOKING TO MARRY OLDER FOREIGNERS💖,91
185FT0mCgvc,"Koreans React to OPM #4 (Karencitta, IV of Spades, Gloc-9) | EL's Planet",92
18oXZbC_RYI,Americans React to How The US Stole The Philippines!,93
196oXdYgBEs,Americans React to Philippines Love For Basketball | This is the Most Basketball Obsessed Country !,94
1C753eMNsKg,"First Impressions of Manila, Philippines 🇵🇭 | Intramuros Walking Tour | Filipino Street Food",95
1Ccsgr9T69Q,Emotional Return to the Philippines 🇵🇭 Our First Time in Cebu 🥰,96
1D9m0RkEwTg,Foreigners Flying to Manila Philippines 🇵🇭 (our FIRST time),97
1FJE4khqN8c,GRADUATIONS are MORE FUN in the PHILIPPINES! NDDU Senior High | HONEST REACTION,98
1GHM1QQDSrI,"$10 FILIPINO STREET FOOD TOUR at UGBO in TONDO Manila, Philippines 🇵🇭 | MUKBANG Philippines",99
1HEOo6a91yY,Adventures in CEBU (My HONEST Experience) 🇵🇭 Searching Paradise In THE PHILIPPINES,100
1Kd2j0RUjrg,A Foreigner's Guide: Thriving in the Philippines 🇵🇭 #shorts #philippines,101
1Kgct3YJoJU,Eating Blood while in The Philippines with my LDR. #passportbros,102
1MCRXw7u1qs,American Guys React to 7 Wonders of the Philippines (Amazing Places to See in the Philippines),103
1MNqENRG1Bk,FOREIGNER LIFE IN MANILA PHILIPPINES | RAW VLOG WALKING AROUND MALL OF ASIA PART 2,104
1QHRFZwKSMw,The Singing Women of the Philippines| Latinos react to NEW Filipino singing Tiktoks that went VIRAL,105
1REnqKrSTls,Singing Like is NO BIG DEAL!! Waleska & Efra react to Filipino Singing after Dinner | Limuel Llanes,106
1WH_VEicE-8,Delicious FILIPINO FOOD Cooked By FOREIGNER | Ilocos Norte Restaurant,107
1YXmTTKljwk,We will NEVER forget THIS ISLAND 🇵🇭 in the PHILIPPINES - SIQUIJOR,108
1e0Aed3Xx2c,Latinos react to Lola Amour - Fallen for the first time LIVE on Wish 107.5 Bus,109
1fSsyZeYVp8,BRITISH HUSBAND TRIES GINISANG UPO NA MAY SARDINAS | FILIPINO FOOD TASTE TEST | @hellokittycat76,110
1fX8P6jZIGE,Foreigner and Filipina House Build Philippines 11Nov22. @LeRocphilippines5539,111
