Id,Level,Texts,General Category,Specific Category,Conceptual Relation,Philippine Context
Z1145,4,mark daniel snow,,,1,1
Z1142,4,brother haircut barber,,,5,1
Z1148,4,wild monkey crocodile track,,,4,3
Z1150,4,happy-birthday birthday,,,5,1
Z235,3,job power opportunity position project attack arm,,,2,1
Z1128,4,opportunity project purpose george decent jersey solar,,,1,1
Z1131,4,key player female mistake pair daddy tire,,,1,1
Z1130,4,power attack powerful giant,,,5,1
Z1129,4,job position arm worker,,,4,1
Z316,2,true sense game level woman story play,,,2,1
Z238,3,game play fair incredible close natural environment,,,2,1
Z1160,4,incredible unbelievable,,,5,1
Z1157,4,environment difficult specific mate brain book class,,,1,1
Z1154,4,basketball sport court,,,5,3
Z1153,4,game play,,,5,1
Z1155,4,fan win hop gorgeous kick fine beat,,,2,1
Z1158,4,stand energy stage safety percent professional michael,,,2,1
Z1162,4,close natural eye nature product diverse makeup,,,2,1
Z1159,4,correct mad london tag note challenge dress,,,1,1
Z1156,4,fair impressive instagram crowd clip bloody winner,,,3,2
Z1161,4,normal proper standard gentleman stair block construction,,,2,1
Z240,3,woman single conversation asian beauty comfortable personal,,,4,3
Z1178,4,beauty attractive girl-girl,,,5,1
Z1179,4,woman single asian,,,5,3
Z1180,4,conversation comfortable personal phrase reality,,,4,1
Z239,3,true sense level story funny wrong heart,,,2,1
Z1174,4,dangerous scary,,,5,1
Z1168,4,touch familiar final grand surprising international terrible,,,1,1
Z1169,4,cultural contact intense host partner bird crab,,,2,2
Z1163,4,story human earth,,,4,1
Z1167,4,sense level heart,,,3,1
Z1176,4,listen star sing-song,,,4,2
Z1166,4,true wrong lucky,,,4,1
Z1175,4,karaoke machine,,,5,5
Z1165,4,support race poor attention peace smart scene,,,1,1
Z1173,4,hill breath chocolate-hill,,,4,5
Z1171,4,picture funny,,,5,1
Z1172,4,hand finger,,,5,1
Z1177,4,stomach duck wing kwek,,,3,5
Z1164,4,character complete legend knee mission vehicle creature,,,1,1
Z1170,4,holy spirit cross jesus tradition lord,,,5,3
Z42,1,song singer vocal singing latino feature-feature podcast,,,4,2
Z37,2,vocal latino feature-feature podcast opm lyric viral,,,4,4
Z218,3,vocal opm coach review,,,4,5
Z169,4,opm review,,,5,5
Z170,4,vocal coach,,,5,1
Z217,3,latino feature-feature podcast lyric viral freak feature,,,3,2
Z167,4,feature-feature podcast feature,,,5,1
Z168,4,latino lyric viral freak performance tiktok,,,4,2
Z36,2,song singer singing sing voice song-song artist,,,5,1
Z216,3,artist sound talent band concert industry studio,,,5,1
Z165,4,artist sound concert studio technique skill,,,5,1
Z166,4,talent band industry competition pop,,,5,1
Z215,3,song singer singing sing voice song-song,,,5,1
Z164,4,song singer song-song,,,5,1
Z163,4,singing sing voice,,,5,1
Z45,1,sauce delicious spicy pork meat crispy smell,,,5,3
Z314,2,delicious smell bite sour tasty ingredient juice,,,5,2
Z233,3,juice mango fruit lemon vegetable banana potato,,,5,3
Z1124,4,mango lemon banana potato sandwich yum lime,,,2,3
Z1123,4,vegetable fruit,,,5,1
Z1125,4,pineapple juice,,,5,3
Z234,3,delicious smell bite sour tasty ingredient piece,,,5,2
Z1126,4,smell bite sour ingredient piece mix crunchy,,,5,2
Z1127,4,tasty delicious,,,5,1
Z313,2,sauce spicy pork meat crispy chili fry,,,5,3
Z232,3,spicy chili fry vinegar spicy-spicy spice,,,5,3
Z1121,4,spicy fry spice,,,5,3
Z1122,4,chili vinegar spicy-spicy,,,5,5
Z231,3,sauce pork meat crispy,,,5,4
Z1120,4,crispy sauce,,,5,4
Z1119,4,meat pork,,,5,2
Z44,1,dish garlic onion egg meal cheese pepper,,,4,3
Z310,2,dish garlic onion egg pepper cook salty,,,5,3
Z226,3,soy-sauce cooking oil recipe rice-rice,,,5,4
Z198,4,soy-sauce oil rice-rice,,,5,4
Z199,4,recipe cooking,,,5,1
Z225,3,dish egg cook beef soup adobo cuisine,,,5,5
Z197,4,egg beef bread breakfast,,,4,2
Z195,4,dish cook soup,,,5,2
Z196,4,adobo cuisine lumpia tender spring bone pancit,,,5,5
Z224,3,garlic onion pepper salty salt tomato ketchup,,,5,4
Z193,4,pepper garlic,,,5,3
Z194,4,onion salty salt tomato ketchup,,,5,4
Z312,2,meal noodle chicken-chicken dip fresh spaghetti mukbang,,,3,4
Z229,3,spaghetti jollibee soft spoon hot-dog fork steak,,,4,5
Z1112,4,spaghetti hot-dog,,,5,4
Z1111,4,jollibee jollibee-jollibee,,,5,5
Z1114,4,spoon knife,,,5,1
