Id,Level,Texts,General Category,Specific Category
Z1171,4,extra follow double eye step support babe,,
Z250,3,white green color brown black skin yellow,,
Z1216,4,color black skin yellow tshirt flip,,
Z1215,4,white green brown,Others,Colors
Z318,2,peso shop coffee market dollar cheap breakfast,Lifestyle / Politics,Coffee & Economics
Z242,3,market street-street grocery sell chinatown supermarket,Lifestyle,Markets and Shopping
Z1166,4,chinatown street-street,Lifestyle,Chinatown
Z1167,4,market grocery sell supermarket,Lifestyle,Markets and Shopping
Z243,3,peso dollar cheap expensive peso-peso price cheaper,Politics,Dollar peso comparison
Z1168,4,peso peso-peso cost,Politics,Philippine peso
Z1170,4,cheap expensive price,Others,Price
Z1169,4,dollar cheaper buck clean barber brother fancy,,
Z241,3,shop coffee breakfast store shopping coffee-coffee rainy,Lifestyle / Food,Coffee & Shoppipng
Z1162,4,shop store shopping,Lifestyle,Shopping
Z1164,4,breakfast morning-morning mommy love heck gift happy-birthday,,
Z1165,4,rainy wet roof typhoon jazz,,
Z1163,4,coffee coffee-coffee,Food,Coffee
Z317,2,province south east budget retire daily west,Travel,
Z238,3,south east west north total position,Others,
Z1154,4,south north position,Others,
Z1155,4,east west total,Others,
Z240,3,filipina relationship girlfriend marry boyfriend marriage wedding,Lifestyle,
Z1159,4,boyfriend girlfriend,Lifestyle,
Z1160,4,filipina relationship,Lifestyle,
Z1161,4,marry marriage wedding prejudice accent,Lifestyle,
Z239,3,province budget retire daily doctor hospital update,Lifestyle,
Z1157,4,province retire update,Lifestyle,
Z1156,4,budget daily,Lifestyle,
Z1158,4,doctor hospital medical nurse,Lifestyle,
Z42,1,singing song sing singer vocal feature-feature voice,Entertainment,
Z37,2,singing sing voice karaoke performance talent level,Entertainment,
Z215,3,singing sing voice karaoke performance talent,Entertainment,
Z153,4,sing karaoke talent,Entertainment,
Z154,4,singing voice performance,Entertainment,
Z214,3,level moment play imagine environment correct movie,Entertainment,
Z152,4,level moment play imagine environment correct movie,Entertainment,
Z151,4,difficult studio track drop access specific design,Enterainment,
Z36,2,song singer vocal feature-feature latino podcast artist,Entertainment,
Z212,3,singer vocal latino feature-feature podcast viral lyric,Entertainment,
Z145,4,singer latino viral lyric tiktok,Entertainment,Viral latino singer
Z144,4,feature-feature podcast feature,Entertainment,Feature Podcast
Z147,4,fuck fucking,Others,
Z146,4,vocal coach,Entertainment,Vocal coach
Z213,3,song artist song-song freak opm sound band,Entertainment,
Z150,4,band review stage technique range dancing disney,Entertainment,Band Reviews
Z148,4,song song-song opm,Entertainment,OPM songs
Z149,4,artist freak sound listen industry concert crowd,Entertainment,
Z45,1,island road beach local ride car taxi,Travel,
Z315,2,road local ride car taxi friendly bike,Travel,
Z233,3,local friendly plan busy impression tricycle explore,,
Z1127,4,local community,,
Z1129,4,busy massive load massage coke float,,
Z1125,4,safe stay safety gym condo,,
Z1128,4,journey seat bar lovely palm bright shake,,
Z1123,4,tricycle map direction vehicle hall,Travel,Tricycle Transport
Z1130,4,meet meeting distance,Others,
Z1126,4,friendly impression explore,Others,
Z1131,4,plan project normal,,
Z1132,4,air camera wind excite late luck summer,,
Z1133,4,tea option bubble alina,Food,Bubble Tea
Z1124,4,pay cross bridge office,,
Z234,3,road ride car taxi bike motorbike driver,Travel,
Z1136,4,road car meter kilometer construction speed,Travel,
Z1137,4,taxi driver,Travel,Taxi Driver
Z1134,4,bike motorbike,Travel,Motorbikes
Z1135,4,ride scooter jeepney,Travel,Scooters and Jeepneys
Z235,3,manila-manila mall bgc building metro makati modern,Travel,
Z1141,4,building museum fort port,Travel,
