num_topics,alpha,eta,coherence_c_v,coherence_u_mass,coherence_npmi,topic_diversity,jaccard_similarity
15,symmetric,symmetric,0.37985838411188755,-2.0869570283851715,-0.3213497677880383,0.5933333333333334,0.06311694268350615
15,symmetric,0.01,0.3828326582920939,-2.0663074181269825,-0.3244936860999846,0.6133333333333333,0.054370754149613065
15,symmetric,0.1,0.3827494793387733,-2.122411568600543,-0.32690761218915565,0.6066666666666667,0.0581838583386571
15,symmetric,0.5,0.38461472304486083,-11.152774323025323,-0.3158532522674523,0.9866666666666667,0.0010025062656641604
15,symmetric,auto,0.37985838411188755,-2.0869570283851715,-0.3213497677880383,0.5933333333333334,0.06311694268350615
15,asymmetric,symmetric,0.3765047423144944,-2.0871948606125645,-0.3311306436413641,0.5733333333333334,0.05759332972955264
15,asymmetric,0.01,0.36201240634057263,-2.1642548681477183,-0.3284427311599533,0.62,0.04792864514226743
15,asymmetric,0.1,0.3677497373146334,-2.502216008935138,-0.3349364830088961,0.6066666666666667,0.0488754566153947
15,asymmetric,0.5,0.38149866383930725,-11.835144194824982,-0.29234497910965207,0.9733333333333334,0.002181925401739643
15,asymmetric,auto,0.3765047423144944,-2.0871948606125645,-0.3311306436413641,0.5733333333333334,0.05759332972955264
15,0.01,symmetric,0.37848387543296624,-2.1076182193965205,-0.3207324531844095,0.5933333333333334,0.05739020754500631
15,0.01,0.01,0.3619978905996933,-2.0907334411422434,-0.32926589232873693,0.6066666666666667,0.05030714040001965
15,0.01,0.1,0.359329185924204,-2.14710542738564,-0.32499526510905596,0.5933333333333334,0.053285173718610246
15,0.01,0.5,0.3606448622706194,-11.458704844051853,-0.3097803113123771,0.98,0.0020050125313283208
15,0.01,auto,0.37848387543296624,-2.1076182193965205,-0.3207324531844095,0.5933333333333334,0.05739020754500631
15,0.1,symmetric,0.3811111489812766,-2.107616423641362,-0.33034615707227116,0.6,0.059431257883270264
15,0.1,0.01,0.3816792983339801,-2.06019315311427,-0.3243341523850063,0.6333333333333333,0.05326715481514243
15,0.1,0.1,0.38183572930346094,-2.1710524714642867,-0.3265888577750066,0.5933333333333334,0.06186790505675954
15,0.1,0.5,0.3863122638947602,-11.349751682116198,-0.31691068297566277,0.9866666666666667,0.0010025062656641604
15,0.1,auto,0.3811111489812766,-2.107616423641362,-0.33034615707227116,0.6,0.059431257883270264
15,0.5,symmetric,0.4133751892037159,-2.6464744442749724,-0.3290554031149414,0.66,0.04727832653529248
15,0.5,0.01,0.4179208708657242,-2.4767861356531173,-0.3232640380844575,0.7133333333333334,0.03638180418366177
15,0.5,0.1,0.4122971489647467,-2.6280492279080483,-0.3290496848516145,0.7,0.04120349894343703
15,0.5,0.5,0.41452253082909635,-10.262296799098143,-0.3070267067373292,0.9933333333333333,0.0005012531328320802
15,0.5,auto,0.4133751892037159,-2.6464744442749724,-0.3290554031149414,0.66,0.04727832653529248
15,auto,symmetric,0.3810860847013949,-2.0861473949390024,-0.3202960823041122,0.5933333333333334,0.060592658115877926
